Op	M	K	N	Transpose A	Transpose B	TotalTime(us)	MatmulTime(us)	AllGatherTime(us)	ÑÚ¸Ç¶È
AllGatherMatmulDequantFixPipe	2955	16384	4096	0	1	6316.39025	6225.089958	3623.893417	0.974806022
AllGatherMatmulDequantFixPipe	3072	17920	6656	0	1	11215.14933	10824.87292	6002.185875	0.934977619
AllGatherMatmulDequantFixPipe	3584	128	16	0	1	71.77716667	24.972125	63.851375	0.682614448
AllGatherMatmulDequantFixPipe	3840	512	6144	0	1	471.0442083	468.2452083	208.4739167	0.98657386
AllGatherMatmulDequantFixPipe	4096	128	128	0	1	69.25045833	14.64054167	68.81954167	0.97056689
AllGatherMatmulDequantFixPipe	4096	1024	1024	0	1	310.6495417	137.97	278.66675	0.768190247
AllGatherMatmulDequantFixPipe	4096	2560	5120	0	1	1558.170208	1531.079125	1058.43725	0.974404639
AllGatherMatmulDequantFixPipe	4096	3424	8192	0	1	3595.2415	3633.795958	1154.148958	1.033405097
AllGatherMatmulDequantFixPipe	4096	4096	16	0	1	1166.417958	148.734125	1160.93225	0.963117352
AllGatherMatmulDequantFixPipe	4096	4096	8192	0	1	3868.410667	3749.362917	1344.158292	0.911433236
AllGatherMatmulDequantFixPipe	4096	5120	640	0	1	1273.466917	366.9926667	1215.04625	0.840812441
AllGatherMatmulDequantFixPipe	4096	5120	2560	0	1	1652.886917	1507.98625	1446.088958	0.899798235
AllGatherMatmulDequantFixPipe	4096	5504	8192	0	1	5371.266917	5568.828708	4332.537625	1.045599556
AllGatherMatmulDequantFixPipe	4096	8192	1024	0	1	2376.576	1104.04075	2191.124125	0.832024429
AllGatherMatmulDequantFixPipe	4096	8192	1280	0	1	2395.134792	1096.623292	2207.04475	0.82848254
AllGatherMatmulDequantFixPipe	4096	8192	2752	0	1	2925.622333	2545.398	2695.4095	0.909557235
AllGatherMatmulDequantFixPipe	4096	8192	3072	0	1	3035.876	2979.861292	2511.023667	0.977692481
AllGatherMatmulDequantFixPipe	4096	8192	4096	0	1	3860.068333	3792.023208	2718.679083	0.974971255
AllGatherMatmulDequantFixPipe	16384	128	128	0	1	205.584	32.70695833	198.4923333	0.783175598
AllGatherMatmulDequantFixPipe	16384	128	1024	0	1	315.9328333	238.61925	254.4471667	0.742327299
AllGatherMatmulDequantFixPipe	16384	1024	128	0	1	994.2741667	82.05270833	985.4452917	0.892399956
AllGatherMatmulDequantFixPipe	16384	8192	3072	0	1	12351.03988	12270.15158	10035.13621	0.991939492
AllGatherMatmulDequantFixPipe	24000	50	3840	0	1	1540.679833	1498.559667	586.4522083	0.928178007
AllGatherMatmulDequantFixPipe	24640	77	2560	0	1	1170.007833	1114.423875	478.91825	0.883938525
AllGatherMatmulDequantFixPipe	65536	128	128	0	1	755.38425	113.248125	742.596125	0.887078704
